OBJECTID,Shape_Length,Shape_Area,UN Partition Plan,1949 Armistice
1,1.082991777,0.038610965,Arab State,Egypt and Jordan
2,6.379000216,1.013315247,Jewish State,Israel
3,1.770017829,0.094414346,Water,Water
4,3.689482207,0.202882736,Arab State,Israel
5,0.288716048,0.005595821,Arab State,Egypt and Jordan
6,0.660257218,0.014836955,Corpus Separatum,Egypt and Jordan
7,0.11259366,0.000780142,Arab State,Israel
8,4.076236107,0.512996624,Arab State,Egypt and Jordan
9,5.652468326,0.234191699,Arab State,Israel
10,3.068545059,0.205410463,Jewish State,Israel
11,0.507663846,0.017148869,Water,Water
12,1.594408461,0.111575177,Arab State,Israel
13,2.725982166,0.159311711,Jewish State,Israel
